iteration,operator,destroy_operator,repair_operator,accepted,temperature,route_count,current_route_count,hard_violations,weighted_tardiness,makespan_s,energy_kwh,current_hard_violations,current_weighted_tardiness,current_makespan_s,current_energy_kwh,destroy_weights,repair_weights
48,alns,worst_routes,greedy,False,981294.6643219755,21,17,0,186162.1244996922,11420.94204181823,73.38751908596429,0,770360.7551713195,12717.726949392787,71.13433660081378,"random_routes=0.461,related_routes=0.474,worst_routes=0.410","greedy=0.435,regret2=0.427"
49,alns,worst_routes,greedy,False,971481.7176787558,21,17,0,186162.1244996922,11420.94204181823,73.38751908596429,0,770360.7551713195,12717.726949392787,71.13433660081378,"random_routes=0.461,related_routes=0.474,worst_routes=0.410","greedy=0.435,regret2=0.427"
50,alns,random_routes,greedy,False,961766.9005019682,21,17,0,186162.1244996922,11420.94204181823,73.38751908596429,0,770360.7551713195,12717.726949392787,71.13433660081378,"random_routes=0.461,related_routes=0.474,worst_routes=0.410","greedy=0.435,regret2=0.427"
51,alns,related_routes,greedy,False,952149.2314969485,21,17,0,186162.1244996922,11420.94204181823,73.38751908596429,0,770360.7551713195,12717.726949392787,71.13433660081378,"random_routes=0.369,related_routes=0.379,worst_routes=0.328","greedy=0.348,regret2=0.341"
52,alns,random_routes,regret2,False,942627.739181979,21,17,0,186162.1244996922,11420.94204181823,73.38751908596429,0,770360.7551713195,12717.726949392787,71.13433660081378,"random_routes=0.369,related_routes=0.379,worst_routes=0.328","greedy=0.348,regret2=0.341"
53,alns,related_routes,greedy,False,933201.4617901592,21,17,0,186162.1244996922,11420.94204181823,73.38751908596429,0,770360.7551713195,12717.726949392787,71.13433660081378,"random_routes=0.369,related_routes=0.379,worst_routes=0.328","greedy=0.348,regret2=0.341"
54,alns,related_routes,regret2,False,923869.4471722576,21,17,0,186162.1244996922,11420.94204181823,73.38751908596429,0,770360.7551713195,12717.726949392787,71.13433660081378,"random_routes=0.369,related_routes=0.379,worst_routes=0.328","greedy=0.348,regret2=0.341"
55,alns,worst_routes,greedy,False,914630.752700535,21,17,0,186162.1244996922,11420.94204181823,73.38751908596429,0,770360.7551713195,12717.726949392787,71.13433660081378,"random_routes=0.369,related_routes=0.379,worst_routes=0.328","greedy=0.348,regret2=0.341"
56,alns,related_routes,greedy,False,905484.4451735297,21,17,0,186162.1244996922,11420.94204181823,73.38751908596429,0,770360.7551713195,12717.726949392787,71.13433660081378,"random_routes=0.369,related_routes=0.379,worst_routes=0.328","greedy=0.348,regret2=0.341"
57,alns,worst_routes,greedy,False,896429.6007217944,21,17,0,186162.1244996922,11420.94204181823,73.38751908596429,0,770360.7551713195,12717.726949392787,71.13433660081378,"random_routes=0.369,related_routes=0.379,worst_routes=0.328","greedy=0.348,regret2=0.341"
58,alns,random_routes,greedy,False,887465.3047145765,21,17,0,186162.1244996922,11420.94204181823,73.38751908596429,0,770360.7551713195,12717.726949392787,71.13433660081378,"random_routes=0.369,related_routes=0.379,worst_routes=0.328","greedy=0.348,regret2=0.341"
59,alns,related_routes,greedy,False,878590.6516674306,21,17,0,186162.1244996922,11420.94204181823,73.38751908596429,0,770360.7551713195,12717.726949392787,71.13433660081378,"random_routes=0.369,related_routes=0.379,worst_routes=0.328","greedy=0.348,regret2=0.341"
60,alns,random_routes,greedy,False,869804.7451507563,21,17,0,186162.1244996922,11420.94204181823,73.38751908596429,0,770360.7551713195,12717.726949392787,71.13433660081378,"random_routes=0.369,related_routes=0.379,worst_routes=0.328","greedy=0.348,regret2=0.341"
61,alns,worst_routes,regret2,False,861106.6976992488,21,17,0,186162.1244996922,11420.94204181823,73.38751908596429,0,770360.7551713195,12717.726949392787,71.13433660081378,"random_routes=0.295,related_routes=0.303,worst_routes=0.262","greedy=0.279,regret2=0.273"
62,alns,worst_routes,regret2,False,852495.6307222563,21,17,0,186162.1244996922,11420.94204181823,73.38751908596429,0,770360.7551713195,12717.726949392787,71.13433660081378,"random_routes=0.295,related_routes=0.303,worst_routes=0.262","greedy=0.279,regret2=0.273"
63,alns,random_routes,regret2,False,843970.6744150337,21,17,0,186162.1244996922,11420.94204181823,73.38751908596429,0,770360.7551713195,12717.726949392787,71.13433660081378,"random_routes=0.295,related_routes=0.303,worst_routes=0.262","greedy=0.279,regret2=0.273"
64,alns,related_routes,greedy,False,835530.9676708833,21,17,0,186162.1244996922,11420.94204181823,73.38751908596429,0,770360.7551713195,12717.726949392787,71.13433660081378,"random_routes=0.295,related_routes=0.303,worst_routes=0.262","greedy=0.279,regret2=0.273"
65,alns,random_routes,greedy,False,827175.6579941744,21,17,0,186162.1244996922,11420.94204181823,73.38751908596429,0,770360.7551713195,12717.726949392787,71.13433660081378,"random_routes=0.295,related_routes=0.303,worst_routes=0.262","greedy=0.279,regret2=0.273"
66,alns,related_routes,regret2,False,818903.9014142327,21,17,0,186162.1244996922,11420.94204181823,73.38751908596429,0,770360.7551713195,12717.726949392787,71.13433660081378,"random_routes=0.295,related_routes=0.303,worst_routes=0.262","greedy=0.279,regret2=0.273"
67,alns,random_routes,greedy,False,810714.8624000903,21,17,0,186162.1244996922,11420.94204181823,73.38751908596429,0,770360.7551713195,12717.726949392787,71.13433660081378,"random_routes=0.295,related_routes=0.303,worst_routes=0.262","greedy=0.279,regret2=0.273"
68,alns,random_routes,greedy,False,802607.7137760894,21,17,0,186162.1244996922,11420.94204181823,73.38751908596429,0,770360.7551713195,12717.726949392787,71.13433660081378,"random_routes=0.295,related_routes=0.303,worst_routes=0.262","greedy=0.279,regret2=0.273"
69,alns,worst_routes,regret2,False,794581.6366383284,21,17,0,186162.1244996922,11420.94204181823,73.38751908596429,0,770360.7551713195,12717.726949392787,71.13433660081378,"random_routes=0.295,related_routes=0.303,worst_routes=0.262","greedy=0.279,regret2=0.273"
70,alns,worst_routes,greedy,False,786635.8202719451,21,17,0,186162.1244996922,11420.94204181823,73.38751908596429,0,770360.7551713195,12717.726949392787,71.13433660081378,"random_routes=0.295,related_routes=0.303,worst_routes=0.262","greedy=0.279,regret2=0.273"
71,alns,random_routes,greedy,False,778769.4620692256,21,17,0,186162.1244996922,11420.94204181823,73.38751908596429,0,770360.7551713195,12717.726949392787,71.13433660081378,"random_routes=0.236,related_routes=0.242,worst_routes=0.210","greedy=0.223,regret2=0.218"
72,alns,worst_routes,greedy,False,770981.7674485333,21,17,0,186162.1244996922,11420.94204181823,73.38751908596429,0,770360.7551713195,12717.726949392787,71.13433660081378,"random_routes=0.236,related_routes=0.242,worst_routes=0.210","greedy=0.223,regret2=0.218"
73,alns,random_routes,regret2,False,763271.949774048,21,17,0,186162.1244996922,11420.94204181823,73.38751908596429,0,770360.7551713195,12717.726949392787,71.13433660081378,"random_routes=0.236,related_routes=0.242,worst_routes=0.210","greedy=0.223,regret2=0.218"
74,alns,random_routes,greedy,False,755639.2302763074,21,17,0,186162.1244996922,11420.94204181823,73.38751908596429,0,770360.7551713195,12717.726949392787,71.13433660081378,"random_routes=0.236,related_routes=0.242,worst_routes=0.210","greedy=0.223,regret2=0.218"
75,alns,related_routes,greedy,False,748082.8379735444,21,17,0,186162.1244996922,11420.94204181823,73.38751908596429,0,770360.7551713195,12717.726949392787,71.13433660081378,"random_routes=0.236,related_routes=0.242,worst_routes=0.210","greedy=0.223,regret2=0.218"
76,alns,related_routes,greedy,False,740602.0095938089,21,17,0,186162.1244996922,11420.94204181823,73.38751908596429,0,770360.7551713195,12717.726949392787,71.13433660081378,"random_routes=0.236,related_routes=0.242,worst_routes=0.210","greedy=0.223,regret2=0.218"
77,alns,random_routes,greedy,False,733195.9894978708,21,17,0,186162.1244996922,11420.94204181823,73.38751908596429,0,770360.7551713195,12717.726949392787,71.13433660081378,"random_routes=0.236,related_routes=0.242,worst_routes=0.210","greedy=0.223,regret2=0.218"
78,alns,worst_routes,regret2,False,725864.0296028921,21,17,0,186162.1244996922,11420.94204181823,73.38751908596429,0,770360.7551713195,12717.726949392787,71.13433660081378,"random_routes=0.236,related_routes=0.242,worst_routes=0.210","greedy=0.223,regret2=0.218"
79,alns,related_routes,greedy,False,718605.3893068632,21,17,0,186162.1244996922,11420.94204181823,73.38751908596429,0,770360.7551713195,12717.726949392787,71.13433660081378,"random_routes=0.236,related_routes=0.242,worst_routes=0.210","greedy=0.223,regret2=0.218"
80,alns,worst_routes,greedy,False,711419.3354137945,21,17,0,186162.1244996922,11420.94204181823,73.38751908596429,0,770360.7551713195,12717.726949392787,71.13433660081378,"random_routes=0.236,related_routes=0.242,worst_routes=0.210","greedy=0.223,regret2=0.218"
81,alns,random_routes,regret2,False,704305.1420596566,21,17,0,186162.1244996922,11420.94204181823,73.38751908596429,0,770360.7551713195,12717.726949392787,71.13433660081378,"random_routes=0.189,related_routes=0.194,worst_routes=0.168","greedy=0.178,regret2=0.175"
82,alns,random_routes,greedy,True,697262.09063906,21,16,0,186162.1244996922,11420.94204181823,73.38751908596429,0,899740.8822347645,13376.371696864764,71.1221103857909,"random_routes=0.189,related_routes=0.194,worst_routes=0.168","greedy=0.178,regret2=0.175"
83,alns,related_routes,greedy,False,690289.4697326694,21,16,0,186162.1244996922,11420.94204181823,73.38751908596429,0,899740.8822347645,13376.371696864764,71.1221103857909,"random_routes=0.189,related_routes=0.194,worst_routes=0.168","greedy=0.178,regret2=0.175"
84,alns,related_routes,regret2,False,683386.5750353427,21,16,0,186162.1244996922,11420.94204181823,73.38751908596429,0,899740.8822347645,13376.371696864764,71.1221103857909,"random_routes=0.189,related_routes=0.194,worst_routes=0.168","greedy=0.178,regret2=0.175"
85,alns,random_routes,regret2,False,676552.7092849893,21,16,0,186162.1244996922,11420.94204181823,73.38751908596429,0,899740.8822347645,13376.371696864764,71.1221103857909,"random_routes=0.189,related_routes=0.194,worst_routes=0.168","greedy=0.178,regret2=0.175"
86,alns,random_routes,regret2,False,669787.1821921393,21,16,0,186162.1244996922,11420.94204181823,73.38751908596429,0,899740.8822347645,13376.371696864764,71.1221103857909,"random_routes=0.189,related_routes=0.194,worst_routes=0.168","greedy=0.178,regret2=0.175"
87,alns,random_routes,greedy,False,663089.3103702179,21,16,0,186162.1244996922,11420.94204181823,73.38751908596429,0,899740.8822347645,13376.371696864764,71.1221103857909,"random_routes=0.189,related_routes=0.194,worst_routes=0.168","greedy=0.178,regret2=0.175"
88,alns,worst_routes,regret2,False,656458.4172665157,21,16,0,186162.1244996922,11420.94204181823,73.38751908596429,0,899740.8822347645,13376.371696864764,71.1221103857909,"random_routes=0.189,related_routes=0.194,worst_routes=0.168","greedy=0.178,regret2=0.175"
89,alns,related_routes,regret2,False,649893.8330938505,21,16,0,186162.1244996922,11420.94204181823,73.38751908596429,0,899740.8822347645,13376.371696864764,71.1221103857909,"random_routes=0.189,related_routes=0.194,worst_routes=0.168","greedy=0.178,regret2=0.175"
90,alns,random_routes,regret2,False,643394.8947629121,21,16,0,186162.1244996922,11420.94204181823,73.38751908596429,0,899740.8822347645,13376.371696864764,71.1221103857909,"random_routes=0.189,related_routes=0.194,worst_routes=0.168","greedy=0.178,regret2=0.175"
91,alns,related_routes,regret2,False,636960.945815283,21,16,0,186162.1244996922,11420.94204181823,73.38751908596429,0,899740.8822347645,13376.371696864764,71.1221103857909,"random_routes=0.191,related_routes=0.155,worst_routes=0.134","greedy=0.209,regret2=0.140"
92,alns,worst_routes,regret2,False,630591.3363571302,21,16,0,186162.1244996922,11420.94204181823,73.38751908596429,0,899740.8822347645,13376.371696864764,71.1221103857909,"random_routes=0.191,related_routes=0.155,worst_routes=0.134","greedy=0.209,regret2=0.140"
93,alns,related_routes,regret2,False,624285.4229935589,21,16,0,186162.1244996922,11420.94204181823,73.38751908596429,0,899740.8822347645,13376.371696864764,71.1221103857909,"random_routes=0.191,related_routes=0.155,worst_routes=0.134","greedy=0.209,regret2=0.140"
